index,word,onset,offset,boundary,filler,comments,,, ,glossary,  
1,okay,1.13,1.65,1,2,,,,,0,non-boundary
2,so,1.68,2.2,0,2,,,,,1,clause boundary
3,they,2.45,2.6,0,,,,,,2,restart
4,began,2.6,3.22,0,,,,,,3,back to previous clause
5,with,3.22,3.43,0,,,,,,4,transient boundary
6,like,3.43,3.7,0,1,,,,,,
7,a,4.16,4.24,0,,,,,,,
8,dream,4.24,4.9,0,,,,,,,
9,sequence,5.08,5.46,0,,,,,,,
10,of,5.65,6.19,0,,,,,,,
11,um,6.66,7.02,0,1,,,,,,
12,a,7.02,7.08,0,,,,,,,
13,shootout,7.08,7.83,1,,,,,,,
14,it's,7.83,7.95,0,,,,,,,
15,during,8.21,8.44,0,,,,,,,
16,the,8.44,8.49,0,,,,,,,
17,day,8.66,9.19,1,,,,,,,
18,it,9.55,9.61,0,,,,,,,
19,looks,9.87,10.06,0,,,,,,,
20,like,10.06,10.21,0,,,,,,,
21,its,10.33,10.53,0,,,,,,,
22,in,10.53,10.65,0,,,,,,,
23,a,10.65,10.71,0,,,,,,,
24,grassy,10.71,11.13,0,,,,,,,
25,field,11.13,11.65,0,,,,,,,
26,with,11.65,11.77,0,,,,,,,
27,some,12.07,12.32,0,,,,,,,
28,sort,12.38,12.57,0,,,,,,,
29,of,12.57,12.78,0,,,,,,,
30,disheveled,13.2,14.19,0,,,,,,,
31,like,14.19,14.45,0,1,,,,,,
32,half,14.45,15.07,0,,,,,,,
33,decomposed,15.07,15.64,0,,,,,,,
34,building,15.64,16.120001,1,,,,,,,
35,um,16.620001,16.99,0,1,,,,,,
36,there's,16.99,17.17,0,,,,,,,
37,a,17.17,17.25,0,,,,,,,
38,lot,17.25,17.469999,0,,,,,,,
39,of,17.469999,18.01,0,,,,,,,
40,guys,18.23,18.68,0,,,,,,,
41,in,18.68,18.75,0,,,,,,,
42,army,19.49,19.870001,0,,,,,,,
43,gear,19.98,20.35,0,,,,,,,
44,um,20.379999,20.58,0,1,,,,,,
45,shooting,20.67,21.09,1,,,,,,,
46,it's,21.09,21.15,0,,,,,,,
47,very,21.629999,21.799999,0,,,,,,,
48,chaotic,21.799999,22.59,1,,,,,,,
49,can't,22.59,23.01,0,,,,,,,
50,really,23.01,23.299999,0,,,,,,,
51,make,23.33,23.58,0,,,,,,,
52,out,23.58,23.85,0,,,,,,,
53,any,23.85,24.370001,0,,,,,,,
54,faces,24.370001,24.719999,0,,,,,,,
55,or,24.719999,25.02,0,,,,,,,
56,really,25.34,25.59,0,,,,,,,
57,people,25.59,26.15,1,,,,,,,
58,um,27.059999,27.59,0,1,,,,,,
59,and,27.98,28.08,0,,,,,,,
60,then,28.08,28.299999,2,2,she changed her mind,,,,,
61,so,28.360001,28.74,0,2,,,,,,
62,that,28.77,29.15,0,,,,,,,
63,uh,29.559999,29.82,0,1,,,,,,
64,cuts,29.82,30.139999,0,,,,,,,
65,out,30.139999,30.23,0,,,,,,,
66,really,30.23,30.450001,0,,,,,,,
67,quickly,30.450001,30.85,1,,,,,,,
68,and,30.85,31,0,,,,,,,
69,you,31,31.09,0,,,,,,,
70,see,31.09,31.309999,0,,,,,,,
71,this,31.309999,31.58,0,,,,,,,
72,man,31.58,31.860001,0,,,,,,,
73,kind,32.240002,32.380001,0,2,,,,,,
74,of,32.380001,32.490002,0,2,,,,,,
75,like,32.490002,32.689999,0,1,not sure if 'kind of' and 'like' are separate,,,,,
76,start,32.889999,33.169998,0,,,,,,,
77,out,33.330002,33.470001,0,,,,,,,
78,of,33.470001,33.610001,0,,,,,,,
79,the,33.650002,33.77,0,,,,,,,
80,bed,34.09,34.389999,1,,,,,,,
81,it's,34.389999,34.59,0,,,,,,,
82,dark,34.59,34.970001,1,,,,,,,
83,looks,35.290001,35.470001,0,,,,,,,
84,like,35.470001,35.610001,0,,,,,,,
85,it's,35.610001,35.759998,0,,,,,,,
86,the,35.759998,36,0,,,,,,,
87,middle,36,36.16,0,,,,,,,
88,of,36.16,36.23,0,,,,,,,
89,the,36.23,36.259998,0,,,,,,,
90,night,36.259998,36.450001,0,,,,,,,
91,or,36.450001,36.540001,0,2,,,,,,
92,something,36.540001,36.939999,1,2,,,,,,
93,and,37.759998,38.099998,0,,,,,,,
94,um,38.220001,38.68,0,1,,,,,,
95,so,39.959999,40.029999,0,2,,,,,,
96,he,40.029999,40.139999,0,,,,,,,
97,just,40.139999,40.360001,0,,,,,,,
98,kind,40.360001,40.540001,0,2,,,,,,
99,of,40.540001,40.59,0,2,,,,,,
100,sits,40.59,40.82,0,,,,,,,
101,up,40.82,41.060001,0,,,,,,,
102,and,41.450001,41.509998,0,,,,,,,
103,like,41.509998,41.66,0,1,,,,,,
104,sits,41.66,41.779999,0,,,,,,,
105,there,42.16,42.529999,4,,prosody,,,,,
106,like,43.43,43.610001,0,1,,,,,,
107,heaving,43.610001,44.119999,0,,,,,,,
108,for,44.119999,44.27,0,,,,,,,
109,a,44.27,44.32,0,,,,,,,
110,while,44.32,44.59,0,,,,,,,
111,like,44.59,44.720001,0,,,,,,,
112,he,44.720001,44.799999,0,,,,,,,
113,just,44.799999,45,0,,,,,,,
114,woke,45,45.169998,0,,,,,,,
115,up,45.169998,45.310001,0,,,,,,,
116,from,45.310001,45.450001,0,,,,,,,
117,a,45.450001,45.52,0,,,,,,,
118,nightmare,45.52,45.93,0,,,,,,,
119,which,45.93,46.09,0,,,,,,,
120,is,46.09,46.220001,0,,,,,,,
121,what,46.599998,46.720001,0,,,,,,,
122,we,46.720001,46.900002,0,,,,,,,
123,assume,46.900002,47.209999,0,,,,,,,
124,that,47.209999,47.470001,0,,,,,,,
125,dream,47.470001,47.669998,0,,,,,,,
126,was,47.669998,47.98,1,,,,,,,
127,um,48.689999,49.099998,0,1,,,,,,
128,so,50.470001,50.540001,0,2,,,,,,
129,then,50.540001,50.779999,0,,prosody,,,,,
130,it,50.779999,50.869999,0,,,,,,,
131,cuts,50.869999,51.200001,0,,,,,,,
132,out,51.200001,51.509998,0,,,,,,,
133,to,52.09,52.369999,0,,,,,,,
134,the,52.369999,52.419998,0,,,,,,,
135,daytime,52.419998,53.689999,1,,,,,,,
136,and,53.689999,53.84,0,,,,,,,
137,we,53.84,53.939999,0,,,,,,,
138,get,53.939999,54.209999,0,,,,,,,
139,like,54.209999,54.509998,0,1,,,,,,
140,an,54.509998,54.580002,0,,,,,,,
141,image,54.669998,54.990002,0,,,,,,,
142,of,54.990002,55.060001,0,,,,,,,
143,his,55.060001,55.169998,0,,,,,,,
144,apartment,55.93,56.57,1,,,,,,,
145,and,56.57,56.66,0,,,,,,,
146,he's,56.66,57.130001,0,,,,,,,
147,kind,57.130001,57.470001,0,2,,,,,,
148,of,57.470001,57.580002,0,2,,,,,,
149,like,57.580002,57.849998,0,1,not sure if 'kind of' and 'like' are separate,,,,,
150,walking,58.310001,58.68,0,,,,,,,
151,around,58.68,58.950001,1,,,,,,,
152,they,58.950001,59.040001,0,,,,,,,
153,have,59.040001,59.25,0,,,,,,,
154,a,59.25,59.32,0,,,,,,,
155,shot,59.32,59.669998,0,,,,,,,
156,of,59.669998,59.959999,0,,,,,,,
157,his,60.330002,60.419998,0,,,,,,,
158,mug,60.419998,60.73,0,,,,,,,
159,which,60.73,60.91,0,,,,,,,
160,has,60.91,61.18,0,,,,,,,
161,some,61.18,61.330002,0,,,,,,,
162,kind,61.330002,61.619999,0,,,,,,,
163,of,61.619999,61.75,0,,,,,,,
164,like,61.75,62.02,0,1,not sure if 'kind of' and 'like' are separate,,,,,
165,sign,62.91,63.25,0,,,,,,,
166,on,63.25,63.439999,0,,,,,,,
167,it,63.439999,63.66,4,,,,,,,
168,like,63.66,63.82,0,,,,,,,
169,a,63.82,64.080002,0,,,,,,,
170,crest,64.190002,64.669998,0,,,,,,,
171,almost,64.669998,65.120003,1,,,,,,,
172,and,65.690002,65.830002,0,,,,,,,
173,then,65.830002,66.160004,0,,,,,,,
174,um,66.25,66.82,0,1,,,,,,
175,there's,66.860001,66.989998,0,,,,,,,
176,like,66.989998,67.099998,0,1,,,,,,
177,a,67.099998,67.160004,0,,,,,,,
178,quick,67.160004,67.410004,0,,,,,,,
179,shot,67.410004,67.739998,0,,,,,,,
180,too,67.739998,67.870003,0,,,,,,,
181,of,67.870003,68.010002,0,,,,,,,
182,a,68.010002,68.199997,0,,,,,,,
183,gun,68.199997,68.480003,0,,,,,,,
184,and,68.480003,68.559998,0,,,,,,,
185,a,68.559998,68.629997,0,,,,,,,
186,notebook,68.629997,69.029999,1,,,,,,,
187,and,69.639999,69.809998,0,,,,,,,
188,then,69.809998,70.32,0,,,,,,,
189,it,70.32,70.599998,0,,,,,,,
190,cuts,70.599998,70.830002,0,,,,,,,
191,to,71.110001,71.279999,0,,,,,,,
192,another,71.279999,71.589996,0,,,,,,,
193,clip,71.589996,72,0,,,,,,,
194,of,72.089996,72.639999,0,,,,,,,
195,the,73.519997,73.790001,0,,,,,,,
196,same,73.830002,74.029999,0,,,,,,,
197,man,74.029999,74.389999,0,,,,,,,
198,sitting,74.389999,74.629997,0,,,,,,,
199,in,74.629997,74.800003,0,,,,,,,
200,front,74.800003,75.099998,0,,,,,,,
201,of,75.099998,75.410004,0,,,,,,,
202,what,75.410004,75.57,0,,,,,,,
203,we,75.57,75.849998,0,,,,,,,
204,can,75.849998,75.989998,0,,,,,,,
205,assume,75.989998,76.32,0,,,,,,,
206,is,76.32,76.410004,0,,,,,,,
207,his,76.410004,76.529999,0,,,,,,,
208,therapist,76.529999,77.190002,1,,,,,,,
209,and,77.879997,78.440002,0,,,,,,,
210,um,78.550003,79.239998,0,1,,,,,,
211,they're,80.099998,80.290001,0,,,,,,,
212,talking,80.290001,81.129997,1,,,,,,,
213,she,81.480003,81.830002,0,,,,,,,
214,says,81.860001,82.120003,0,,,,,,,
215,something,82.190002,82.540001,0,,,,,,,
216,about,82.540001,82.669998,0,,,,,,,
217,him,82.669998,82.970001,0,,,,,,,
218,still,82.970001,83.120003,0,,,,,,,
219,having,83.120003,83.389999,0,,,,,,,
220,trust,83.389999,83.709999,0,,,,,,,
221,issues,83.709999,84.160004,1,,,,,,,
222,and,84.160004,84.389999,2,,,,,,,
223,or,84.790001,84.919998,0,,,,,,,
224,no,84.919998,85.160004,2,,prosody,,,,,
225,she,85.449997,85.589996,0,,,,,,,
226,writes,85.589996,85.970001,0,,,,,,,
227,that,85.970001,86.349998,1,,,,,,,
228,and,86.349998,86.459999,0,,,,,,,
229,then,86.459999,86.760002,0,,,,,,,
230,he,87.120003,87.620003,0,,,,,,,
231,reads,87.620003,88,0,,,,,,,
232,it,88,88.07,0,,,,,,,
233,upside,88.07,88.370003,0,,,,,,,
234,down,88.370003,88.669998,0,,,,,,,
235,and,88.669998,88.830002,0,,,,,,,
236,asks,89.160004,89.510002,0,,,,,,,
237,her,89.510002,89.760002,0,,,,,,,
238,like,89.760002,90.019997,0,1,,,,,,
239,about,90.019997,90.300003,0,,,,,,,
240,writing,90.300003,90.68,0,,,,,,,
241,that,90.68,90.980003,1,,,,,,,
242,and,90.980003,91.120003,0,,,,,,,
243,then,91.120003,91.410004,0,,,,,,,
244,um,91.440002,91.860001,0,1,,,,,,
245,she,92.230003,92.440002,0,,,,,,,
